Categorie;Nom;Marque;Caracteristiques;Prix en euro;Quantité disponible
téléphonie;google pixel 5;google;écran oled 6 pouces double caméra 122 mp snapdragon 765g;699.0;30
téléphonie;oneplus 9;oneplus;écran fluid amoled 655 pouces triple caméra 48 mp snapdragon 888;799.0;15
téléphonie;xiaomi mi 11;xiaomi;écran amoled 681 pouces triple caméra 108 mp snapdragon 888;799.0;20
téléphonie;iphone se 2020;apple;écran retina hd 47 pouces caméra 12 mp puce a13 bionic;399.0;20
téléphonie;samsung galaxy s20 fe;samsung;écran super amoled 65 pouces triple caméra 12 mp exynos 990;599.0;25
téléphonie;google pixel 4a;google;écran oled 581 pouces caméra 122 mp snapdragon 730g;349.0;30
téléphonie;oneplus nord 2;oneplus;écran amoled 643 pouces triple caméra 50 mp dimensity 1200;499.0;20
téléphonie;xiaomi redmi note 11 pro;xiaomi;écran amoled 667 pouces quadruple caméra 108 mp dimensity 920;449.0;25
téléphonie;iphone 12 mini;apple;écran oled 54 pouces double caméra 12 mp puce a14 bionic;699.0;15
téléphonie;samsung galaxy a52;samsung;écran super amoled 65 pouces quadruple caméra 64 mp snapdragon 720g;449.0;30
téléphonie;google pixel 4 xl;google;écran oled 63 pouces double caméra 122 mp snapdragon 855;899.0;10
téléphonie;oneplus 8t;oneplus;écran fluid amoled 655 pouces quadruple caméra 48 mp snapdragon 865;699.0;15
téléphonie;xiaomi mi 10t pro;xiaomi;écran ips 667 pouces triple caméra 108 mp snapdragon 865;599.0;20
téléphonie;iphone 11;apple;écran lcd 61 pouces double caméra 12 mp puce a13 bionic;599.0;25
téléphonie;samsung galaxy a72;samsung;écran super amoled 67 pouces quadruple caméra 64 mp snapdragon 720g;499.0;20
téléphonie;google pixel 3a xl;google;écran oled 6 pouces caméra 122 mp snapdragon 670;479.0;15
téléphonie;oneplus 7t;oneplus;écran fluid amoled 655 pouces triple caméra 48 mp snapdragon 855;499.0;10
téléphonie;xiaomi redmi note 10 pro;xiaomi;écran amoled 667 pouces quadruple caméra 108 mp snapdragon 732g;299.0;30
téléphonie;iphone xr;apple;écran lcd 61 pouces caméra 12 mp puce a12 bionic;499.0;15
téléphonie;samsung galaxy a32;samsung;écran super amoled 64 pouces quadruple caméra 64 mp mediatek helio g80;299.0;20
téléphonie;google pixel 3;google;écran oled 55 pouces caméra 122 mp snapdragon 845;499.0;10
téléphonie;oneplus nord;oneplus;écran amoled 644 pouces quadruple caméra 48 mp snapdragon 765g;399.0;25
téléphonie;xiaomi mi 10 lite;xiaomi;écran amoled 657 pouces quadruple caméra 48 mp snapdragon 765g;299.0;30
téléphonie;iphone 8 plus;apple;écran lcd 55 pouces double caméra 12 mp puce a11 bionic;549.0;20
téléphonie;samsung galaxy a12;samsung;écran lcd 65 pouces quadruple caméra 48 mp mediatek helio p35;199.0;40
téléphonie;google pixel 4;google;écran oled 57 pouces double caméra 16 mp snapdragon 855;799.0;5
téléphonie;oneplus 6t;oneplus;écran amoled 641 pouces double caméra 16 mp snapdragon 845;549.0;10
téléphonie;xiaomi redmi note 9;xiaomi;écran lcd 653 pouces quadruple caméra 48 mp mediatek helio g85;229.0;30
téléphonie;iphone se 2022;apple;écran retina hd 47 pouces caméra 12 mp puce a15 bionic;449.0;25
téléphonie;samsung galaxy a02s;samsung;écran lcd 65 pouces triple caméra 13 mp snapdragon 450;149.0;50
téléphonie;google pixel 5a;google;écran oled 634 pouces double caméra 122 mp snapdragon 765g;449.0;20
téléphonie;oneplus 5t;oneplus;écran amoled 601 pouces double caméra 16 mp snapdragon 835;399.0;15
téléphonie;xiaomi redmi 9a;xiaomi;écran lcd 653 pouces caméra 13 mp mediatek helio g25;99.0;40
téléphonie;iphone 7;apple;écran lcd 47 pouces caméra 12 mp puce a10 fusion;349.0;10
téléphonie;samsung galaxy a03;samsung;écran lcd 65 pouces double caméra 13 mp mediatek mt6739w;129.0;50
téléphonie;google pixel 4a 5g;google;écran oled 62 pouces double caméra 122 mp snapdragon 765g;499.0;15
téléphonie;oneplus 5;oneplus;écran optic amoled 55 pouces double caméra 16 mp snapdragon 835;349.0;10
téléphonie;xiaomi redmi note 8;xiaomi;écran lcd 63 pouces quadruple caméra 48 mp snapdragon 665;199.0;30
ordinateur portable;macbook pro 16 pouces;apple;écran retina 16 pouces puce m1 pro jusquà 64 go ram;2499.0;15
ordinateur portable;dell xps 15;dell;écran infinityedge 156 pouces processeur intel core i7 jusquà 32 go ram;1899.0;20
ordinateur portable;microsoft surface laptop 4;microsoft;écran pixelsense tactile 135 pouces processeur intel core i5 jusquà 16 go ram;1299.0;15
ordinateur portable;hp spectre x360;hp;écran tactile full hd 133 pouces processeur intel core i7 jusquà 16 go ram;1599.0;10
ordinateur portable;asus zenbook 14;asus;écran nanoedge 14 pouces processeur intel core i5 jusquà 16 go ram;999.0;25
ordinateur portable;lenovo thinkpad x1 carbon;lenovo;écran 14 pouces processeur intel core i7 jusquà 32 go ram;1699.0;15
ordinateur portable;acer swift 3;acer;écran full hd 14 pouces processeur amd ryzen 5 jusquà 8 go ram;699.0;30
ordinateur portable;razer blade 15;razer;écran full hd 156 pouces processeur intel core i7 jusquà 16 go ram;1799.0;10
ordinateur portable;msi gs66 stealth;msi;écran 156 pouces 240 hz processeur intel core i7 jusquà 32 go ram;2199.0;5
ordinateur portable;asus rog zephyrus g14;asus;écran qhd 14 pouces processeur amd ryzen 9 jusquà 32 go ram;1799.0;10
ordinateur portable;apple macbook air m1;apple;écran retina 133 pouces puce m1 jusquà 16 go ram;999.0;20
ordinateur portable;dell inspiron 15 3000;dell;écran hd 156 pouces processeur intel core i3 jusquà 8 go ram;499.0;25
ordinateur portable;microsoft surface pro 8;microsoft;écran pixelsense 13 pouces processeur intel core i5 jusquà 16 go ram;1299.0;15
ordinateur portable;hp envy x360;hp;écran tactile full hd 156 pouces processeur amd ryzen 7 jusquà 16 go ram;1099.0;15
ordinateur portable;asus vivobook 15;asus;écran full hd 156 pouces processeur intel core i5 jusquà 12 go ram;799.0;30
ordinateur portable;lenovo ideapad 3;lenovo;écran hd 156 pouces processeur amd ryzen 3 jusquà 8 go ram;399.0;40
ordinateur portable;acer predator helios 300;acer;écran 156 pouces 144 hz processeur intel core i7 jusquà 32 go ram;1299.0;10
ordinateur portable;razer blade stealth 13;razer;écran full hd 133 pouces processeur intel core i7 jusquà 16 go ram;1499.0;20
ordinateur portable;msi creator 15;msi;écran 156 pouces 4k processeur intel core i7 jusquà 32 go ram;1999.0;15
ordinateur portable;asus rog strix g15;asus;écran 156 pouces 144 hz processeur amd ryzen 7 jusquà 32 go ram;1599.0;10
ordinateur portable;apple macbook pro 13 pouces;apple;écran retina 133 pouces puce m1 jusquà 16 go ram;1299.0;25
ordinateur portable;dell inspiron 14 5000;dell;écran full hd 14 pouces processeur intel core i5 jusquà 8 go ram;699.0;30
ordinateur portable;microsoft surface book 3;microsoft;écran pixelsense 135 pouces processeur intel core i7 jusquà 32 go ram;2199.0;10
ordinateur portable;hp pavilion 15;hp;écran hd 156 pouces processeur intel core i3 jusquà 8 go ram;499.0;20
ordinateur portable;asus rog zephyrus g15;asus;écran 156 pouces 240 hz processeur amd ryzen 9 jusquà 32 go ram;1999.0;15
ordinateur portable;lenovo legion 5;lenovo;écran 156 pouces 120 hz processeur amd ryzen 7 jusquà 16 go ram;1299.0;20
ordinateur portable;acer aspire 5;acer;écran full hd 156 pouces processeur intel core i5 jusquà 8 go ram;599.0;25
ordinateur portable;razer blade 17;razer;écran 173 pouces 4k processeur intel core i7 jusquà 32 go ram;2399.0;10
ordinateur portable;msi ge76 raider;msi;écran 173 pouces 300 hz processeur intel core i9 jusquà 64 go ram;2799.0;5
ordinateur portable;asus vivobook s14;asus;écran full hd 14 pouces processeur intel core i5 jusquà 16 go ram;899.0;20
ordinateur portable;apple macbook pro 14 pouces;apple;écran miniled 14 pouces puce m1 pro jusquà 64 go ram;1999.0;15
ordinateur portable;dell latitude 14;dell;écran full hd 14 pouces processeur intel core i7 jusquà 16 go ram;1499.0;15
ordinateur portable;microsoft surface laptop go;microsoft;écran tactile 124 pouces processeur intel core i5 jusquà 8 go ram;699.0;25
ordinateur portable;hp pavilion x360;hp;écran tactile full hd 14 pouces processeur intel core i3 jusquà 8 go ram;799.0;20
ordinateur portable;asus tuf gaming a15;asus;écran 156 pouces 144 hz processeur amd ryzen 7 jusquà 16 go ram;1199.0;10
ordinateur portable;lenovo ideapad flex 5;lenovo;écran tactile full hd 14 pouces processeur amd ryzen 5 jusquà 16 go ram;899.0;15
ordinateur portable;acer nitro 5;acer;écran 156 pouces 144 hz processeur intel core i5 jusquà 16 go ram;999.0;20
ordinateur portable;razer blade stealth 15;razer;écran 156 pouces 120 hz processeur intel core i7 jusquà 16 go ram;1799.0;10
ordinateur portable;msi prestige 14;msi;écran 14 pouces 4k processeur intel core i7 jusquà 32 go ram;1799.0;10
ordinateur portable;asus rog zephyrus duo 15;asus;écran principal 156 pouces 300 hz second écran 14 pouces tactile processeur intel core i9 jusquà 32 go ram;2999.0;5
téléviseur;samsung qled qn90a;samsung;écran qled 4k 65 pouces quantum hdr 32x quantum processor 4k;2199.0;10
téléviseur;lg oled c1;lg;écran oled 4k 55 pouces α9 gen4 processor 4k dolby vision iq;1799.0;15
téléviseur;sony bravia xr a90j;sony;écran oled 4k 65 pouces cognitive processor xr acoustic surface audio;2499.0;8
téléviseur;philips the one;philips;écran led 4k 50 pouces ambilight p5 perfect picture engine;699.0;20
téléviseur;panasonic tx55hz1000;panasonic;écran oled 4k 55 pouces dolby vision hdr10;1899.0;10
téléviseur;tcl 6series;tcl;écran qled 4k 55 pouces dolby vision contrast control zones;799.0;25
téléviseur;hisense u8g;hisense;écran qled 4k 65 pouces quantum dot color dolby vision hdr;1299.0;12
téléviseur;vizio oledh1;vizio;écran oled 4k 55 pouces progaming engine dolby vision hdr;1499.0;18
téléviseur;samsung crystal uhd tu8000;samsung;écran led 4k 65 pouces crystal processor 4k hdr;999.0;20
téléviseur;lg nanocell nano90;lg;écran nanocell 4k 75 pouces α7 gen4 processor 4k dolby vision iq;1599.0;10
téléviseur;sony x85j;sony;écran led 4k 65 pouces xr triluminos pro dolby vision;1199.0;15
téléviseur;philips oled 805;philips;écran oled 4k 55 pouces ambilight p5 perfect picture engine;1699.0;8
téléviseur;panasonic tx65hz1500;panasonic;écran oled 4k 65 pouces dolby vision hdr10;2299.0;5
téléviseur;tcl 4series;tcl;écran led 4k 55 pouces hdr smart tv roku;499.0;30
téléviseur;hisense a6g;hisense;écran led 4k 65 pouces dolby vision hdr android tv;899.0;12
téléviseur;vizio mseries quantum;vizio;écran qled 4k 65 pouces quantum color dolby vision hdr;1099.0;18
téléviseur;samsung the frame;samsung;écran qled 4k 55 pouces mode art quantum processor 4k;1799.0;10
téléviseur;lg oled gx;lg;écran oled 4k 77 pouces α9 gen3 processor 4k dolby vision iq;3499.0;5
téléviseur;sony a80j;sony;écran oled 4k 65 pouces cognitive processor xr acoustic surface audio;2499.0;8
téléviseur;philips the one;philips;écran led 4k 50 pouces ambilight p5 perfect picture engine;699.0;20
téléviseur;panasonic tx55hz1000;panasonic;écran oled 4k 55 pouces dolby vision hdr10;1899.0;10
téléviseur;tcl 6series;tcl;écran qled 4k 55 pouces dolby vision contrast control zones;799.0;25
téléviseur;hisense u8g;hisense;écran qled 4k 65 pouces quantum dot color dolby vision hdr;1299.0;12
téléviseur;vizio oledh1;vizio;écran oled 4k 55 pouces progaming engine dolby vision hdr;1499.0;18
téléviseur;samsung crystal uhd tu8000;samsung;écran led 4k 65 pouces crystal processor 4k hdr;999.0;20
téléviseur;lg nanocell nano90;lg;écran nanocell 4k 75 pouces α7 gen4 processor 4k dolby vision iq;1599.0;10
téléviseur;sony x85j;sony;écran led 4k 65 pouces xr triluminos pro dolby vision;1199.0;15
téléviseur;philips oled 805;philips;écran oled 4k 55 pouces ambilight p5 perfect picture engine;1699.0;8
téléviseur;panasonic tx65hz1500;panasonic;écran oled 4k 65 pouces dolby vision hdr10;2299.0;5
téléviseur;tcl 4series;tcl;écran led 4k 55 pouces hdr smart tv roku;499.0;30
téléviseur;hisense a6g;hisense;écran led 4k 65 pouces dolby vision hdr android tv;899.0;12
téléviseur;vizio mseries quantum;vizio;écran qled 4k 65 pouces quantum color dolby vision hdr;1099.0;18
téléviseur;samsung the frame;samsung;écran qled 4k 55 pouces mode art quantum processor 4k;1799.0;10
téléviseur;lg oled gx;lg;écran oled 4k 77 pouces α9 gen3 processor 4k dolby vision iq;3499.0;5
téléviseur;sony a80j;sony;écran oled 4k 65 pouces cognitive processor xr acoustic surface audio;2499.0;8
téléviseur;philips the one;philips;écran led 4k 50 pouces ambilight p5 perfect picture engine;699.0;20
téléviseur;panasonic tx55hz1000;panasonic;écran oled 4k 55 pouces dolby vision hdr10;1899.0;10
téléviseur;tcl 6series;tcl;écran qled 4k 55 pouces dolby vision contrast control zones;799.0;25
téléviseur;hisense u8g;hisense;écran qled 4k 65 pouces quantum dot color dolby vision hdr;1299.0;12
téléviseur;vizio oledh1;vizio;écran oled 4k 55 pouces progaming engine dolby vision hdr;1499.0;18
téléviseur;samsung crystal uhd tu8000;samsung;écran led 4k 65 pouces crystal processor 4k hdr;999.0;20
téléviseur;lg nanocell nano90;lg;écran nanocell 4k 75 pouces α7 gen4 processor 4k dolby vision iq;1599.0;10
téléviseur;sony x85j;sony;écran led 4k 65 pouces xr triluminos pro dolby vision;1199.0;15
téléviseur;philips oled 805;philips;écran oled 4k 55 pouces ambilight p5 perfect picture engine;1699.0;8
téléviseur;panasonic tx65hz1500;panasonic;écran oled 4k 65 pouces dolby vision hdr10;2299.0;5
téléviseur;tcl 4series;tcl;écran led 4k 55 pouces hdr smart tv roku;499.0;30
téléviseur;hisense a6g;hisense;écran led 4k 65 pouces dolby vision hdr android tv;899.0;12
téléviseur;vizio mseries quantum;vizio;écran qled 4k 65 pouces quantum color dolby vision hdr;1099.0;18
téléviseur;samsung the frame;samsung;écran qled 4k 55 pouces mode art quantum processor 4k;1799.0;10
téléviseur;lg oled gx;lg;écran oled 4k 77 pouces α9 gen3 processor 4k dolby vision iq;3499.0;5
téléviseur;sony a80j;sony;écran oled 4k 65 pouces cognitive processor xr acoustic surface audio;2499.0;8
réfrigérateur;samsung rf28r7201sr;samsung;capacité 28 pieds cubes distributeur eau glaçons technologie twin cooling plus;1999.0;10
réfrigérateur;lg lfxs26973s;lg;capacité 26 pieds cubes porte instaview technologie smart cooling;1899.0;15
réfrigérateur;frigidaire ffss2615ts;frigidaire;capacité 255 pieds cubes distributeur eau glaçons étagères ajustables;1399.0;8
réfrigérateur;whirlpool wrs321sdhz;whirlpool;capacité 21 pieds cubes distributeur eau technologie adaptive defrost;1099.0;20
réfrigérateur;ge gss25gshss;ge;capacité 253 pieds cubes distributeur eau glaçons étagères verre trempé;1599.0;10
réfrigérateur;kitchenaid krff507hps;kitchenaid;capacité 268 pieds cubes distributeur eau glaçons système conservation aliments preserva;2199.0;12
réfrigérateur;bosch b36cl80sns;bosch;capacité 208 pieds cubes tiroirs vitafresh éclairage led;2499.0;5
réfrigérateur;haier hrf15n3ags;haier;capacité 15 pieds cubes distributeur eau technologie refroidissement rapide;999.0;25
réfrigérateur;subzero bi36usph;subzero;capacité 214 pieds cubes système conservation aliments dual refrigeration étagères verre;7999.0;3
réfrigérateur;electrolux ei23bc82ss;electrolux;capacité 223 pieds cubes tiroirs perfect temp éclairage theatre style;2999.0;8
réfrigérateur;viking vcsb5423ss;viking;capacité 247 pieds cubes système filtration air tiroirs humides secs;4999.0;5
réfrigérateur;liebherr cs2062;liebherr;capacité 194 pieds cubes technologie biofresh étagères verre;3499.0;10
réfrigérateur;samsung rf28r7201sr;samsung;capacité 28 pieds cubes distributeur eau glaçons technologie twin cooling plus;1999.0;10
réfrigérateur;lg lfxs26973s;lg;capacité 26 pieds cubes porte instaview technologie smart cooling;1899.0;15
réfrigérateur;frigidaire ffss2615ts;frigidaire;capacité 255 pieds cubes distributeur eau glaçons étagères ajustables;1399.0;8
réfrigérateur;whirlpool wrs321sdhz;whirlpool;capacité 21 pieds cubes distributeur eau technologie adaptive defrost;1099.0;20
réfrigérateur;ge gss25gshss;ge;capacité 253 pieds cubes distributeur eau glaçons étagères verre trempé;1599.0;10
réfrigérateur;kitchenaid krff507hps;kitchenaid;capacité 268 pieds cubes distributeur eau glaçons système conservation aliments preserva;2199.0;12
réfrigérateur;bosch b36cl80sns;bosch;capacité 208 pieds cubes tiroirs vitafresh éclairage led;2499.0;5
réfrigérateur;haier hrf15n3ags;haier;capacité 15 pieds cubes distributeur eau technologie refroidissement rapide;999.0;25
réfrigérateur;subzero bi36usph;subzero;capacité 214 pieds cubes système conservation aliments dual refrigeration étagères verre;7999.0;3
réfrigérateur;electrolux ei23bc82ss;electrolux;capacité 223 pieds cubes tiroirs perfect temp éclairage theatre style;2999.0;8
réfrigérateur;viking vcsb5423ss;viking;capacité 247 pieds cubes système filtration air tiroirs humides secs;4999.0;5
réfrigérateur;liebherr cs2062;liebherr;capacité 194 pieds cubes technologie biofresh étagères verre;3499.0;10
audio;sonos arc;sonos;barre dolby atmos 11 hautparleurs contrôle vocal;899.0;10
audio;bose smart soundbar 300;bose;barre assistant vocal intégré wifi bluetooth;499.0;15
audio;jbl bar 91;jbl;barre 91 canaux dolby atmos subwoofer fil;999.0;8
audio;sony htg700;sony;barre 31 canaux dolby atmos vertical surround engine;599.0;20
audio;yamaha yas209;yamaha;barre subwoofer fil clear voice bluetooth;349.0;10
audio;samsung hwq70t;samsung;barre 312 canaux dolby atmos dtsx;799.0;12
audio;lg sn7cy;lg;barre 302 canaux dolby atmos dtsx;699.0;15
audio;harman kardon citation bar;harman kardon;barre google assistant intégré chromecast bluetooth;899.0;8
audio;bose soundlink revolve;bose;enceinte portable 360 degrés résistante aux éclaboussures autonomie jusquà 16 heures;299.0;20
audio;jbl charge 5;jbl;enceinte portable résistante eau bluetooth batterie rechargeable;179.0;25
audio;ultimate ears megaboom 3;ultimate ears;enceinte portable 360 degrés résistante eau poussière autonomie jusquà 20 heures;199.0;15
audio;sony srsxb43;sony;enceinte portable extra bass résistante eau poussière autonomie jusquà 24 heures;249.0;20
audio;anker soundcore motion;anker;enceinte portable stéréo bluetooth 50 autonomie jusquà 12 heures;99.0;30
audio;marshall stockwell ii;marshall;enceinte portable compacte autonomie jusquà 20 heures entrée jack 35 mm;199.0;10
audio;bose soundlink color ii;bose;enceinte portable résistante eau bluetooth autonomie jusquà 8 heures;129.0;25
audio;sonos roam;sonos;enceinte portable sonos trueplay résistante eau poussière autonomie jusquà 10 heures;179.0;15
audio;sonos arc;sonos;barre dolby atmos 11 hautparleurs contrôle vocal;899.0;10
audio;bose smart soundbar 300;bose;barre assistant vocal intégré wifi bluetooth;499.0;15
audio;jbl bar 91;jbl;barre 91 canaux dolby atmos subwoofer fil;999.0;8
audio;sony htg700;sony;barre 31 canaux dolby atmos vertical surround engine;599.0;20
audio;yamaha yas209;yamaha;barre subwoofer fil clear voice bluetooth;349.0;10
audio;samsung hwq70t;samsung;barre 312 canaux dolby atmos dtsx;799.0;12
audio;lg sn7cy;lg;barre 302 canaux dolby atmos dtsx;699.0;15
audio;harman kardon citation bar;harman kardon;barre google assistant intégré chromecast bluetooth;899.0;8
audio;bose soundlink revolve;bose;enceinte portable 360 degrés résistante aux éclaboussures autonomie jusquà 16 heures;299.0;20
audio;jbl charge 5;jbl;enceinte portable résistante eau bluetooth batterie rechargeable;179.0;25
audio;ultimate ears megaboom 3;ultimate ears;enceinte portable 360 degrés résistante eau poussière autonomie jusquà 20 heures;199.0;15
audio;sony srsxb43;sony;enceinte portable extra bass résistante eau poussière autonomie jusquà 24 heures;249.0;20
audio;anker soundcore motion;anker;enceinte portable stéréo bluetooth 50 autonomie jusquà 12 heures;99.0;30
audio;marshall stockwell ii;marshall;enceinte portable compacte autonomie jusquà 20 heures entrée jack 35 mm;199.0;10
audio;bose soundlink color ii;bose;enceinte portable résistante eau bluetooth autonomie jusquà 8 heures;129.0;25
audio;sonos roam;sonos;enceinte portable sonos trueplay résistante eau poussière autonomie jusquà 10 heures;179.0;15
btp;makita perceusevisseuse fil ddf482rfx1;makita;perceusevisseuse fil batterie lithiumion 18v couple max serrage 62 nm;199.0;20
btp;bosch meuleuse angulaire gws 750100;bosch;meuleuse angulaire électrique puissance 750 w diamètre disque 100 mm;89.0;15
btp;dewalt scie circulaire dwe575k;dewalt;scie circulaire électrique puissance 1600 w profondeur coupe 67 mm 90°;179.0;10
btp;hilti perforateur burineur te 30a36;hilti;perforateur burineur fil batterie lithiumion 36v frappe 36 j;899.0;8
btp;makita marteau piqueur hm0871c;makita;marteau piqueur électrique puissance 1100 w frappe 114 j;499.0;12
btp;bosch niveau laser gll 380 c;bosch;niveau laser autonivelant portée jusquà 30 connexion bluetooth;299.0;20
btp;dewalt perceuse percussion dcd796p2;dewalt;perceuse percussion fil batterie lithiumion 18v couple max serrage 70 nm;249.0;15
btp;hilti scie sabre wsr 36a;hilti;scie sabre fil batterie lithiumion 36v mouvement pendulaire réglable;399.0;10
btp;makita tronçonneuse thermique ea3201s40b;makita;tronçonneuse thermique puissance 18 kw guide 40 cm;299.0;8
btp;bosch détecteur mural dtect 120;bosch;détecteur matériaux portée jusquà 120 mm fonctionnement radar;199.0;20
btp;dewalt visseuse chocs fil dcf887p2;dewalt;visseuse chocs fil batterie lithiumion 18v couple max serrage 205 nm;279.0;15
btp;hilti perforateur te 2a22;hilti;perforateur fil batterie lithiumion 22v frappe 22 j;349.0;10
btp;makita scie circulaire table mlt100;makita;scie circulaire table puissance 1500 w diamètre disque 260 mm;499.0;12
btp;bosch rabot électrique gho 2682;bosch;rabot électrique puissance 710 w largeur rabotage 82 mm;149.0;8
btp;dewalt scie sauteuse fil dcs334nxj;dewalt;scie sauteuse fil batterie lithiumion 18v course lame 26 mm;199.0;10
btp;hilti marteau perforateur te 6a36;hilti;marteau perforateur fil batterie lithiumion 36v frappe 26 j;799.0;15
btp;makita scie onglet radiale ls1018l;makita;scie onglet radiale puissance 1430 w diamètre lame 260 mm;399.0;20
btp;bosch marteau perforateur gbh 228 f;bosch;marteau perforateur électrique puissance 880 w frappe 32 j;299.0;25
btp;dewalt scie circulaire plongeante dws520kt;dewalt;scie circulaire plongeante électrique puissance 1300 w profondeur coupe 59 mm;349.0;30
btp;hilti perforateur burineur te 50avr;hilti;perforateur burineur électrique puissance 1050 w frappe 75 j;599.0;20
btp;makita scie sabre jr3051tk;makita;scie sabre électrique puissance 1510 w course lame 32 mm;179.0;25
btp;bosch meuleuse angle gws 22230 jh;bosch;meuleuse angle électrique puissance 2200 w diamètre disque 230 mm;129.0;15
btp;dewalt scie onglet radiale dws774;dewalt;scie onglet radiale électrique puissance 1400 w diamètre lame 216 mm;249.0;18
btp;hilti marteau piqueur te 1000avr;hilti;marteau piqueur électrique puissance 1750 w frappe 25 j;899.0;12
btp;makita ponceuse excentrique bo5041k;makita;ponceuse excentrique électrique puissance 300 w diamètre plateau ponçage 125 mm;129.0;20
btp;bosch visseuse chocs gdr 18v160;bosch;visseuse chocs fil batterie lithiumion 18v couple max serrage 160 nm;149.0;25
btp;dewalt perforateur sdsplus dch273nxj;dewalt;perforateur électrique batterie lithiumion 18v frappe 21 j;299.0;30
btp;hilti scie circulaire fil scw 22a;hilti;scie circulaire fil batterie lithiumion 22v diamètre lame 165 mm;399.0;15
